Gene stable ID	Human gene stable ID	Human homology type
ENSPANG00000049572		
ENSPANG00000044673		
ENSPANG00000039744		
ENSPANG00000051213		
ENSPANG00000048014		
ENSPANG00000050388	ENSG00000198888	ortholog_one2one
ENSPANG00000043639		
ENSPANG00000036918		
ENSPANG00000046485		
ENSPANG00000051388	ENSG00000198763	ortholog_one2one
ENSPANG00000043369		
ENSPANG00000043066		
ENSPANG00000040831		
ENSPANG00000042512		
ENSPANG00000045346		
ENSPANG00000039831	ENSG00000198804	ortholog_one2one
ENSPANG00000041162		
ENSPANG00000038855		
ENSPANG00000040128	ENSG00000198712	ortholog_one2one
ENSPANG00000045993		
ENSPANG00000040139	ENSG00000228253	ortholog_one2one
ENSPANG00000048762	ENSG00000198899	ortholog_one2one
ENSPANG00000043010	ENSG00000198938	ortholog_one2one
ENSPANG00000045951		
ENSPANG00000038108	ENSG00000198840	ortholog_one2one
ENSPANG00000045087		
ENSPANG00000050123	ENSG00000212907	ortholog_one2many
ENSPANG00000043906	ENSG00000198886	ortholog_one2one
ENSPANG00000050538		
ENSPANG00000041718		
ENSPANG00000044692		
ENSPANG00000037208	ENSG00000198786	ortholog_one2one
ENSPANG00000039767	ENSG00000198695	ortholog_one2many
ENSPANG00000040052		
ENSPANG00000050319	ENSG00000198727	ortholog_one2one
ENSPANG00000045551		
ENSPANG00000046928		
ENSPANG00000005407	ENSG00000057757	ortholog_one2one
ENSPANG00000006764	ENSG00000117148	ortholog_one2one
ENSPANG00000038388		
ENSPANG00000011817	ENSG00000134256	ortholog_one2one
ENSPANG00000023470	ENSG00000185483	ortholog_one2one
ENSPANG00000008744	ENSG00000117154	ortholog_one2one
ENSPANG00000018634	ENSG00000183520	ortholog_one2one
ENSPANG00000000174	ENSG00000143194	ortholog_one2one
ENSPANG00000014433	ENSG00000011009	ortholog_one2one
ENSPANG00000004801	ENSG00000116819	ortholog_one2one
ENSPANG00000014368	ENSG00000079335	ortholog_one2one
ENSPANG00000039355		
ENSPANG00000017620	ENSG00000092969	ortholog_one2one
ENSPANG00000010244	ENSG00000160094	ortholog_one2one
ENSPANG00000049418		
ENSPANG00000020891	ENSG00000162775	ortholog_one2one
ENSPANG00000025662	ENSG00000081985	ortholog_one2one
ENSPANG00000049139		
ENSPANG00000012432		
ENSPANG00000041295	ENSG00000163216	ortholog_one2many
ENSPANG00000048877		
ENSPANG00000021035	ENSG00000134249	ortholog_one2one
ENSPANG00000013234	ENSG00000116199	ortholog_one2one
ENSPANG00000018747	ENSG00000117308	ortholog_one2one
ENSPANG00000016577	ENSG00000162510	ortholog_one2one
ENSPANG00000016455	ENSG00000143624	ortholog_one2one
ENSPANG00000033703		
ENSPANG00000022218	ENSG00000198160	ortholog_one2one
ENSPANG00000043204		
ENSPANG00000006448	ENSG00000044012	ortholog_one2one
ENSPANG00000045548		
ENSPANG00000017313		
ENSPANG00000037607		
ENSPANG00000016077	ENSG00000116489	ortholog_one2one
ENSPANG00000039151		
ENSPANG00000014603	ENSG00000076356	ortholog_one2one
ENSPANG00000048915	ENSG00000184270	ortholog_one2one
ENSPANG00000019922		
ENSPANG00000000592	ENSG00000224051	ortholog_one2one
ENSPANG00000038478		
ENSPANG00000020788		
ENSPANG00000027093		
ENSPANG00000007127	ENSG00000133069	ortholog_one2one
ENSPANG00000004481	ENSG00000116882	ortholog_one2one
ENSPANG00000034565		
ENSPANG00000007130	ENSG00000117758	ortholog_one2one
ENSPANG00000002233	ENSG00000225556	ortholog_one2one
ENSPANG00000046213		
ENSPANG00000037706		
ENSPANG00000027107		
ENSPANG00000003169		
ENSPANG00000036936		
ENSPANG00000030153	ENSG00000184389	ortholog_one2one
ENSPANG00000051027	ENSG00000186150	ortholog_one2one
ENSPANG00000041526		
ENSPANG00000046576		
ENSPANG00000019211	ENSG00000196660	ortholog_one2one
ENSPANG00000002611		
ENSPANG00000017082	ENSG00000117450	ortholog_one2one
ENSPANG00000037833		
ENSPANG00000035617		
ENSPANG00000019692		
ENSPANG00000049289		
ENSPANG00000031811	ENSG00000169469	ortholog_one2one
ENSPANG00000042968		
ENSPANG00000037116		
ENSPANG00000008257	ENSG00000132881	ortholog_one2one
ENSPANG00000046890		
ENSPANG00000012295	ENSG00000134253	ortholog_one2one
ENSPANG00000046312		
ENSPANG00000043958	ENSG00000163216	ortholog_one2many
ENSPANG00000012568		
ENSPANG00000048770		
ENSPANG00000044689		
ENSPANG00000007433	ENSG00000169242	ortholog_one2one
ENSPANG00000005822	ENSG00000163873	ortholog_one2one
ENSPANG00000008575		
ENSPANG00000046341		
ENSPANG00000048441		
ENSPANG00000039905	ENSG00000169474	ortholog_one2one
ENSPANG00000005883	ENSG00000142864	ortholog_one2one
ENSPANG00000015493		
ENSPANG00000006193		
ENSPANG00000046291		
ENSPANG00000019088	ENSG00000196505	ortholog_one2one
ENSPANG00000011819	ENSG00000155363	ortholog_one2one
ENSPANG00000011833	ENSG00000037637	ortholog_one2one
ENSPANG00000015490		
ENSPANG00000014580	ENSG00000215930	ortholog_one2one
ENSPANG00000040321		
ENSPANG00000011950	ENSG00000143105	ortholog_one2one
ENSPANG00000026756		
ENSPANG00000039996		
ENSPANG00000007925		
ENSPANG00000044668		
ENSPANG00000030645	ENSG00000243364	ortholog_one2one
ENSPANG00000019349	ENSG00000127054	ortholog_one2one
ENSPANG00000037214	ENSG00000244094	ortholog_one2one
ENSPANG00000043070	ENSG00000117751	ortholog_one2one
ENSPANG00000041744		
ENSPANG00000049456		
ENSPANG00000008005	ENSG00000198974	ortholog_one2one
ENSPANG00000040006		
ENSPANG00000001668		
ENSPANG00000002250	ENSG00000207941	ortholog_one2one
ENSPANG00000050755		
ENSPANG00000012827	ENSG00000198860	ortholog_one2one
ENSPANG00000006240		
ENSPANG00000010025	ENSG00000134686	ortholog_one2one
ENSPANG00000039901		
ENSPANG00000027181	ENSG00000265201	ortholog_one2one
